period,horizon_hours,recommended_quantile,avoid_iqr_multiplier,row_count,exact_agreement_rate,false_recommended_rate,false_avoid_rate,predicted_recommended_rate,predicted_acceptable_rate,predicted_avoid_rate
holdout_2026,12,0.1500,1.5000,4344,0.6052,0.0064,0.1809,0.0090,0.7905,0.2005
calibration_2025,12,0.1500,2.0000,8040,0.6539,0.0160,0.1495,0.0221,0.8051,0.1728
holdout_2026,12,0.1500,2.0000,4344,0.6676,0.0064,0.1052,0.0090,0.8764,0.1146
calibration_2025,12,0.1500,2.5000,8040,0.6888,0.0160,0.1108,0.0221,0.8516,0.1262
holdout_2026,12,0.1500,2.5000,4344,0.7040,0.0064,0.0656,0.0090,0.9192,0.0718
calibration_2025,12,0.1500,3.0000,8040,0.7118,0.0160,0.0877,0.0221,0.8785,0.0994
holdout_2026,12,0.1500,3.0000,4344,0.7242,0.0064,0.0447,0.0090,0.9415,0.0495
calibration_2025,12,0.2000,1.5000,8040,0.5493,0.0195,0.2177,0.0290,0.7185,0.2525
holdout_2026,12,0.2000,1.5000,4344,0.5665,0.0113,0.1809,0.0163,0.7831,0.2005
calibration_2025,12,0.2000,2.0000,8040,0.6093,0.0195,0.1495,0.0290,0.7983,0.1728
holdout_2026,12,0.2000,2.0000,4344,0.6262,0.0113,0.1052,0.0163,0.8690,0.1146
calibration_2025,12,0.2000,2.5000,8040,0.6412,0.0195,0.1108,0.0290,0.8448,0.1262
holdout_2026,12,0.2000,2.5000,4344,0.6611,0.0113,0.0656,0.0163,0.9118,0.0718
calibration_2025,12,0.2000,3.0000,8040,0.6634,0.0195,0.0877,0.0290,0.8716,0.0994
holdout_2026,12,0.2000,3.0000,4344,0.6802,0.0113,0.0447,0.0163,0.9342,0.0495
calibration_2025,12,0.2500,1.5000,8040,0.5117,0.0235,0.2177,0.0384,0.7091,0.2525
holdout_2026,12,0.2500,1.5000,4344,0.5368,0.0150,0.1809,0.0256,0.7739,0.2005
calibration_2025,12,0.2500,2.0000,8040,0.5690,0.0235,0.1495,0.0384,0.7888,0.1728
holdout_2026,12,0.2500,2.0000,4344,0.5925,0.0150,0.1052,0.0256,0.8598,0.1146
calibration_2025,12,0.2500,2.5000,8040,0.5988,0.0235,0.1108,0.0384,0.8353,0.1262
holdout_2026,12,0.2500,2.5000,4344,0.6262,0.0150,0.0656,0.0256,0.9026,0.0718
calibration_2025,12,0.2500,3.0000,8040,0.6201,0.0235,0.0877,0.0384,0.8622,0.0994
holdout_2026,12,0.2500,3.0000,4344,0.6446,0.0150,0.0447,0.0256,0.9250,0.0495
calibration_2025,24,0.1000,1.5000,8040,0.6904,0.0878,0.0709,0.1190,0.7912,0.0898
holdout_2026,24,0.1000,1.5000,4344,0.6607,0.1209,0.0509,0.1676,0.7709,0.0615
calibration_2025,24,0.1000,2.0000,8040,0.7123,0.0878,0.0578,0.1190,0.8095,0.0715
holdout_2026,24,0.1000,2.0000,4344,0.6747,0.1209,0.0428,0.1676,0.7834,0.0490
calibration_2025,24,0.1000,2.5000,8040,0.7284,0.0878,0.0498,0.1190,0.8208,0.0602
holdout_2026,24,0.1000,2.5000,4344,0.6846,0.1209,0.0380,0.1676,0.7896,0.0428
calibration_2025,24,0.1000,3.0000,8040,0.7383,0.0878,0.0450,0.1190,0.8274,0.0536
holdout_2026,24,0.1000,3.0000,4344,0.6927,0.1209,0.0336,0.1676,0.7940,0.0384
calibration_2025,24,0.1500,1.5000,8040,0.6516,0.1092,0.0709,0.1580,0.7522,0.0898
holdout_2026,24,0.1500,1.5000,4344,0.6427,0.1301,0.0509,0.1994,0.7392,0.0615
calibration_2025,24,0.1500,2.0000,8040,0.6729,0.1092,0.0578,0.1580,0.7705,0.0715
holdout_2026,24,0.1500,2.0000,4344,0.6568,0.1301,0.0428,0.1994,0.7516,0.0490
calibration_2025,24,0.1500,2.5000,8040,0.6883,0.1092,0.0498,0.1580,0.7818,0.0602
holdout_2026,24,0.1500,2.5000,4344,0.6667,0.1301,0.0380,0.1994,0.7578,0.0428
calibration_2025,24,0.1500,3.0000,8040,0.6979,0.1092,0.0450,0.1580,0.7884,0.0536
holdout_2026,24,0.1500,3.0000,4344,0.6743,0.1301,0.0336,0.1994,0.7622,0.0384
calibration_2025,24,0.2000,1.5000,8040,0.6119,0.1326,0.0709,0.2104,0.6998,0.0898
holdout_2026,24,0.2000,1.5000,4344,0.6156,0.1459,0.0509,0.2445,0.6941,0.0615
calibration_2025,24,0.2000,2.0000,8040,0.6322,0.1326,0.0578,0.2104,0.7180,0.0715
holdout_2026,24,0.2000,2.0000,4344,0.6289,0.1459,0.0428,0.2445,0.7065,0.0490
calibration_2025,24,0.2000,2.5000,8040,0.6468,0.1326,0.0498,0.2104,0.7294,0.0602
holdout_2026,24,0.2000,2.5000,4344,0.6386,0.1459,0.0380,0.2445,0.7127,0.0428
calibration_2025,24,0.2000,3.0000,8040,0.6560,0.1326,0.0450,0.2104,0.7359,0.0536
holdout_2026,24,0.2000,3.0000,4344,0.6462,0.1459,0.0336,0.2445,0.7171,0.0384
calibration_2025,24,0.2500,1.5000,8040,0.5802,0.1509,0.0709,0.2570,0.6532,0.0898
holdout_2026,24,0.2500,1.5000,4344,0.5847,0.1637,0.0509,0.2857,0.6529,0.0615
calibration_2025,24,0.2500,2.0000,8040,0.5993,0.1509,0.0578,0.2570,0.6715,0.0715
holdout_2026,24,0.2500,2.0000,4344,0.5974,0.1637,0.0428,0.2857,0.6653,0.0490
calibration_2025,24,0.2500,2.5000,8040,0.6129,0.1509,0.0498,0.2570,0.6828,0.0602
holdout_2026,24,0.2500,2.5000,4344,0.6068,0.1637,0.0380,0.2857,0.6715,0.0428
calibration_2025,24,0.2500,3.0000,8040,0.6216,0.1509,0.0450,0.2570,0.6894,0.0536
holdout_2026,24,0.2500,3.0000,4344,0.6140,0.1637,0.0336,0.2857,0.6759,0.0384
