horizon_hours,candidate_rank,model_name,decision_threshold,period_type,period,rows,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,pr_auc
12,2,hist_gradient_boosting_classifier,0.55,month,2024-04,720,48,80,0.8444444444444444,0.1,0.16666666666666666,0.125,0.11130269425099587
12,2,hist_gradient_boosting_classifier,0.55,month,2024-05,744,16,1,0.9771505376344086,0.0,0.0,0.0,0.03210971385324608
12,2,hist_gradient_boosting_classifier,0.55,month,2024-06,720,11,2,0.9819444444444444,0.0,0.0,0.0,0.03861582476038946
12,2,hist_gradient_boosting_classifier,0.55,month,2024-07,744,92,114,0.8790322580645161,0.5087719298245614,0.6304347826086957,0.5631067961165048,0.5556925067911949
12,2,hist_gradient_boosting_classifier,0.55,month,2024-08,744,14,2,0.978494623655914,0.0,0.0,0.0,0.019691768242890442
12,2,hist_gradient_boosting_classifier,0.55,month,2024-09,720,35,22,0.9291666666666667,0.13636363636363635,0.08571428571428572,0.10526315789473684,0.11140999707678312
12,2,hist_gradient_boosting_classifier,0.55,month,2024-10,744,47,51,0.8817204301075269,0.09803921568627451,0.10638297872340426,0.10204081632653061,0.060537015742735394
12,2,hist_gradient_boosting_classifier,0.55,month,2024-11,720,68,81,0.8791666666666667,0.38271604938271603,0.45588235294117646,0.4161073825503356,0.3243569293891831
12,2,hist_gradient_boosting_classifier,0.55,month,2024-12,720,3,3,0.9916666666666667,0.0,0.0,0.0,0.01975566172457364
12,2,hist_gradient_boosting_classifier,0.55,quarter,2024Q1,2184,264,338,0.8534798534798534,0.4171597633136095,0.5340909090909091,0.4684385382059801,0.39830962126299796
12,2,hist_gradient_boosting_classifier,0.55,quarter,2024Q2,2184,75,83,0.934981684981685,0.0963855421686747,0.10666666666666667,0.10126582278481013,0.08418043360782781
12,2,hist_gradient_boosting_classifier,0.55,quarter,2024Q3,2208,141,138,0.9288949275362319,0.4420289855072464,0.4326241134751773,0.43727598566308246,0.39566917546967834
